"Longitude","Latitude","Genus","Species","x"
-81.005417,34.026123,"Quercus","laurifolia",79.6666666666667
-85.760132,38.215046,"Quercus","laurifolia",282.857142857143
-117.320084,33.971535,"Quercus","lobata",253
-118.242287,34.095119,"Quercus","lobata",159.5
-118.716232,34.096893,"Quercus","lobata",302
-118.757507,34.11578,"Quercus","lobata",158.701011959522
-118.758636,34.118332,"Quercus","lobata",161.9375
-118.760071,34.119007,"Quercus","lobata",161.593984962406
-118.631882,34.135754,"Quercus","lobata",262
-118.631638,34.135941,"Quercus","lobata",293.701298701299
-118.62973,34.147045,"Quercus","lobata",299
-118.73069,34.156467,"Quercus","lobata",162.287477954145
-118.726082,34.159077,"Quercus","lobata",171.947483588621
-118.723999,34.160259,"Quercus","lobata",157.111111111111
-118.726067,34.160709,"Quercus","lobata",164.797619047619
-118.723801,34.16449,"Quercus","lobata",158.97619047619
-118.723579,34.166229,"Quercus","lobata",166.505813953488
-118.723244,34.167473,"Quercus","lobata",186.571428571429
-118.724167,34.173702,"Quercus","lobata",181.151724137931
-120.040688,34.675453,"Quercus","lobata",152.587141750581
-118.719856,34.842213,"Quercus","lobata",267
-119.029419,35.962433,"Quercus","lobata",237.125
-119.088158,36.203007,"Quercus","lobata",160
-119.114685,36.210747,"Quercus","lobata",173.625
-119.166214,36.330593,"Quercus","lobata",117.3125
-119.305565,36.341011,"Quercus","lobata",120.714285714286
-119.260979,36.345131,"Quercus","lobata",260.153846153846
-119.171791,36.355656,"Quercus","lobata",69.925
-121.550117,36.387501,"Quercus","lobata",108.28125
-121.592926,36.408047,"Quercus","lobata",49
-119.166267,36.421021,"Quercus","lobata",124.649122807018
-119.025848,36.429565,"Quercus","lobata",119
-119.024696,36.431881,"Quercus","lobata",124.060975609756
-119.417931,36.778259,"Quercus","lobata",346
-121.525749,37.067856,"Quercus","lobata",28
-121.622078,37.164356,"Quercus","lobata",29
-121.761139,37.17487,"Quercus","lobata",334
-121.882973,37.213058,"Quercus","lobata",164.753623188406
-122.15538,37.308743,"Quercus","lobata",76
-122.127838,37.359844,"Quercus","lobata",136.567796610169
-122.130836,37.360928,"Quercus","lobata",214.230769230769
-122.13887,37.410206,"Quercus","lobata",86.4857142857143
-121.960197,37.439407,"Quercus","lobata",145.416666666667
-122.266418,37.448662,"Quercus","lobata",35.5
-122.25074,37.835827,"Quercus","lobata",248.5
-122.251404,37.835876,"Quercus","lobata",258
-122.251427,37.83588,"Quercus","lobata",260.2
-122.25058,37.836147,"Quercus","lobata",261
-122.126457,37.978359,"Quercus","lobata",159.30701754386
-122.653343,38.226364,"Quercus","lobata",147.25
-122.738655,38.443714,"Quercus","lobata",225
-122.720764,38.456081,"Quercus","lobata",173
-122.720779,38.456898,"Quercus","lobata",174.777777777778
-122.721207,38.458218,"Quercus","lobata",186.684210526316
-123.21032,39.016533,"Quercus","lobata",199.833333333333
-122.8461,39.126736,"Quercus","lobata",99
-123.225639,39.16151,"Quercus","lobata",272.88
-121.845329,39.731636,"Quercus","lobata",275
-121.833267,39.732826,"Quercus","lobata",257.720930232558
-121.850449,39.735767,"Quercus","lobata",215.913043478261
-121.827835,39.736481,"Quercus","lobata",257
-121.844872,39.746132,"Quercus","lobata",254
-122.389885,40.526695,"Quercus","lobata",94
-122.317856,40.624184,"Quercus","lobata",209.666666666667
-123.472511,41.466087,"Quercus","lobata",107
-95.452667,29.766973,"Quercus","macrocarpa",76
-94.954933,29.793592,"Quercus","macrocarpa",173
-97.603165,30.525684,"Quercus","macrocarpa",75.1666666666667
-97.324806,31.580486,"Quercus","macrocarpa",138.555555555556
-96.970963,32.613674,"Quercus","macrocarpa",203
-97.12867,33.229744,"Quercus","macrocarpa",91.3333333333333
-97.447266,35.178806,"Quercus","macrocarpa",84
-97.446968,35.179035,"Quercus","macrocarpa",90.1666666666667
-97.446976,35.179302,"Quercus","macrocarpa",91.6666666666667
-97.447594,35.179417,"Quercus","macrocarpa",84.8333333333333
-97.447586,35.17942,"Quercus","macrocarpa",96.7777777777778
-97.446884,35.179497,"Quercus","macrocarpa",59
-97.445724,35.179722,"Quercus","macrocarpa",72
-97.446617,35.180058,"Quercus","macrocarpa",88
-97.439476,35.222569,"Quercus","macrocarpa",80
-86.784981,36.09547,"Quercus","macrocarpa",293
